Timestamp,Air Temperature (IW),Relative Humidity (IW),Soil Temperature (IW),Soil Moisture (IW),Berry Temperature
2023-07-16 00:00:00,19.5533333333333,0.5376,28.9533333333333,0.10047424,20.6302222222222
2023-07-16 00:15:00,19.5866666666667,0.5378,28.7733333333333,0.10047424,20.2382222222222
2023-07-16 00:30:00,19.4266666666667,0.5238,28.5933333333333,0.1005001,20.0877777777778
2023-07-16 00:45:00,19.2666666666667,0.5248,28.4066666666667,0.10052596,20.0362222222222
2023-07-16 01:00:00,19.4533333333333,0.501733333333333,28.24,0.10057768,19.9515555555556
2023-07-16 01:15:00,19.2866666666667,0.515,28.06,0.10057768,19.5053333333333
2023-07-16 01:30:00,18.7066666666667,0.555466666666667,27.8933333333333,0.10055182,18.9466666666667
2023-07-16 01:45:00,17.9733333333333,0.600066666666667,27.74,0.1006294,18.248
2023-07-16 02:00:00,17.14,0.663,27.5733333333333,0.1005001,17.49
2023-07-16 02:15:00,16.36,0.689466666666667,27.4266666666667,0.1005001,17.014
2023-07-16 02:30:00,15.8333333333333,0.709133333333333,27.2666666666667,0.10055182,16.6097777777778
2023-07-16 02:45:00,15.4266666666667,0.711866666666667,27.12,0.10055182,16.5257777777778
2023-07-16 03:00:00,15.36,0.723,26.96,0.1005001,16.2037777777778
2023-07-16 03:15:00,15.16,0.733866666666667,26.82,0.10057768,15.9348888888889
2023-07-16 03:30:00,14.84,0.7162,26.66,0.10068112,15.7382222222222
2023-07-16 03:45:00,14.7,0.715266666666667,26.52,0.1005001,15.6042222222222
2023-07-16 04:00:00,14.5133333333333,0.7284,26.3733333333333,0.10057768,15.3331111111111
2023-07-16 04:15:00,14.32,0.7564,26.24,0.10047424,15.2037777777778
2023-07-16 04:30:00,14.16,0.768133333333333,26.0866666666667,0.10042252,14.9857777777778
2023-07-16 04:45:00,13.96,0.778133333333333,25.9466666666667,0.10047424,14.8491111111111
2023-07-16 05:00:00,13.88,0.793666666666667,25.8266666666667,0.10042252,14.6864444444444
2023-07-16 05:15:00,13.9066666666667,0.789866666666667,25.6733333333333,0.10042252,14.7773333333333
2023-07-16 05:30:00,13.8866666666667,0.787533333333333,25.5466666666667,0.10044838,14.6693333333333
2023-07-16 05:45:00,13.9533333333333,0.761866666666667,25.4266666666667,0.1005001,14.8153333333333
2023-07-16 06:00:00,14.28,0.784666666666667,25.2866666666667,0.10044838,15.0408888888889
2023-07-16 06:15:00,15.14,0.778,25.1666666666667,0.10057768,15.8557777777778
2023-07-16 06:30:00,16.4333333333333,0.764666666666667,25.06,0.1005001,16.6364444444444
2023-07-16 06:45:00,18.42,0.720133333333333,24.9466666666667,0.1005001,17.7848888888889
2023-07-16 07:00:00,21.3733333333333,0.6388,24.86,0.10055182,19.0964444444444
2023-07-16 07:15:00,23.7133333333333,0.530533333333333,24.8,0.10057768,20.514
2023-07-16 07:30:00,24.94,0.456066666666667,24.7,0.10055182,21.7722222222222
2023-07-16 07:45:00,25.7466666666667,0.417666666666667,24.7,0.1005001,22.6306666666667
2023-07-16 08:00:00,25.92,0.411733333333333,24.7,0.1005001,23.3702222222222
2023-07-16 08:15:00,26.5133333333333,0.4006,24.7,0.1005001,24.0531111111111
2023-07-16 08:30:00,26.9466666666667,0.382333333333333,24.7,0.10039666,24.9913333333333
2023-07-16 08:45:00,27.56,0.377733333333333,24.7,0.10021564,26.5184444444444
2023-07-16 09:00:00,28.34,0.360533333333333,24.7333333333333,0.10031908,27.852
2023-07-16 09:15:00,28.6466666666667,0.360466666666667,24.8,0.1002415,29.1737777777778
2023-07-16 09:30:00,29.04,0.354466666666667,24.92,0.10034494,30.1713333333333
2023-07-16 09:45:00,29.8266666666667,0.3216,25.1,0.1002415,31.3922222222222
2023-07-16 10:00:00,30.8,0.298333333333333,25.3533333333333,0.10000876,32.6786666666667
2023-07-16 10:15:00,31.0933333333333,0.290066666666667,25.6733333333333,0.0998794599999999,33.6975555555556
2023-07-16 10:30:00,31.5533333333333,0.292066666666667,26.06,0.0998535999999999,34.506
2023-07-16 10:45:00,31.9733333333333,0.2748,26.4733333333333,0.0996984399999999,34.8373333333333
2023-07-16 11:00:00,32.0266666666667,0.284666666666667,26.9133333333333,0.0998018799999999,35.1842222222222
2023-07-16 11:15:00,32.9266666666667,0.286066666666667,27.38,0.0996984399999999,35.4371111111111
2023-07-16 11:30:00,33.0066666666667,0.2766,27.8266666666667,0.0997501599999999,35.3315555555556
2023-07-16 11:45:00,33.3133333333333,0.2756,28.2933333333333,0.0996984399999999,35.4006666666667
2023-07-16 12:00:00,33.4666666666667,0.284666666666667,28.7533333333333,0.0995949999999999,35.4777777777778
2023-07-16 12:15:00,34.0133333333333,0.2452,29.2066666666667,0.0997242999999999,35.6802222222222
2023-07-16 12:30:00,34.6266666666667,0.2266,29.6333333333333,0.0996208599999999,35.8593333333333
2023-07-16 12:45:00,35.1533333333333,0.210733333333333,29.98,0.0996467199999999,36.2446666666667
2023-07-16 13:00:00,35.32,0.220733333333333,30.22,0.0995174199999999,36.7802222222222
2023-07-16 13:15:00,35.4133333333333,0.221666666666667,30.3533333333333,0.0997242999999999,38.038
2023-07-16 13:30:00,36.0933333333333,0.2038,30.4,0.0996208599999999,39.264
2023-07-16 13:45:00,36.5533333333333,0.204066666666667,30.3866666666667,0.0994398399999999,39.3395555555556
2023-07-16 14:00:00,37.14,0.199333333333333,30.3,0.0994656999999999,39.9482222222222
2023-07-16 14:15:00,38.0533333333333,0.185866666666667,30.2466666666667,0.0993363999999999,40.8817777777778
2023-07-16 14:30:00,38.56,0.1702,30.2,0.0993622599999999,41.2755555555556
2023-07-16 14:45:00,38.2066666666667,0.185066666666667,30.2933333333333,0.0992846799999999,41.254
2023-07-16 15:00:00,38.7,0.1738,30.4933333333333,0.0991812399999999,42.1142222222222
2023-07-16 15:15:00,38.6133333333333,0.1756,30.7666666666667,0.0992846799999999,42.9628888888889
2023-07-16 15:30:00,39.7733333333333,0.153266666666667,31.12,0.0991295199999999,42.8546666666667
2023-07-16 15:45:00,40.28,0.1484,31.4666666666667,0.0991553799999999,43.4595555555556
2023-07-16 16:00:00,40.1133333333333,0.17,31.84,0.0990260799999999,43.672
2023-07-16 16:15:00,40.2866666666667,0.157733333333333,32.1866666666667,0.0992588199999999,43.91
2023-07-16 16:30:00,39.64,0.169333333333333,32.52,0.0992070999999999,44.2871111111111
2023-07-16 16:45:00,40.56,0.1718,32.8133333333333,0.0992588199999999,43.7164444444444
2023-07-16 17:00:00,39.8066666666667,0.1626,33.0933333333333,0.0991036599999999,43.4215555555556
2023-07-16 17:15:00,38.94,0.161533333333333,33.32,0.0992329599999999,42.5057777777778
2023-07-16 17:30:00,38.7666666666667,0.1762,33.4666666666667,0.0992329599999999,41.7993333333333
2023-07-16 17:45:00,40.3333333333333,0.173733333333333,33.5866666666667,0.0992846799999999,41.356
2023-07-16 18:00:00,41.62,0.266666666666667,33.6,0.0992070999999999,39.8604444444444
2023-07-16 18:15:00,40.7333333333333,0.280066666666667,33.6,0.0993622599999999,38.3502222222222
2023-07-16 18:30:00,40.1,0.2444,33.58,0.0993105399999999,37.2753333333333
2023-07-16 18:45:00,38.4466666666667,0.228266666666667,33.4666666666667,0.0993105399999999,36.4728888888889
2023-07-16 19:00:00,38.3933333333333,0.282333333333333,33.3333333333333,0.0992846799999999,36.2082222222222
2023-07-16 19:15:00,36.9466666666667,0.275,33.1466666666667,0.0993105399999999,34.6273333333333
2023-07-16 19:30:00,35.0333333333333,0.3002,32.9533333333333,0.0993105399999999,32.8435555555556
2023-07-16 19:45:00,31.94,0.304866666666667,32.7533333333333,0.0991812399999999,31.1637777777778
2023-07-16 20:00:00,30.5133333333333,0.2898,32.54,0.0991812399999999,30.4844444444444
2023-07-16 20:15:00,29.6733333333333,0.273466666666667,32.3266666666667,0.0993105399999999,29.7708888888889
2023-07-16 20:30:00,28.68,0.250333333333333,32.1066666666667,0.0991812399999999,29.0006666666667
