Timestamp,Air Temperature (OW),Relative Humidity (OW),Solar Radiation (OW),Wind Speed (OW),Berry Temperature
2025-07-16 00:00:00,20.444,49.05,0,8.15,19.39
2025-07-16 00:15:00,20.278,49.7,0,8.4,18.99
2025-07-16 00:30:00,19.778,51,0,7.2,18.75
2025-07-16 00:45:00,19.278,52,0,8,18.28
2025-07-16 01:00:00,18.944,52.3,0,9.6,18.31
2025-07-16 01:15:00,18.5,53.1,0,8.5,17.92
2025-07-16 01:30:00,18.444,53.2,0,7.5,17.905
2025-07-16 01:45:00,18.444,52.8,0,9.6,17.89
2025-07-16 02:00:00,18.333,53.2,0,9.6,17.74
2025-07-16 02:15:00,18.111,53.9,0,7.7,17.475
2025-07-16 02:30:00,18,54.9,0,7.7,17.5325
2025-07-16 02:45:00,18.389,53.9,0,9.2,17.59
2025-07-16 03:00:00,18.611,53.9,0,9.9,17.345
2025-07-16 03:15:00,18.556,54.3,0,7.7,17.1
2025-07-16 03:30:00,18.278,55,0,5.7,17.1
2025-07-16 03:45:00,18.222,55.3,0,7.4,17.1
2025-07-16 04:00:00,17.889,56.2,0,5.7,17.33
2025-07-16 04:15:00,18,55.4,0,5.5,17.41
2025-07-16 04:30:00,18.111,55.4,0,6.8,16.34125
2025-07-16 04:45:00,18.056,55.4,0,5.5,15.2725
2025-07-16 05:00:00,17.278,57.4,0,2.4,14.20375
2025-07-16 05:15:00,15.944,62.4,1,1.9,13.135
2025-07-16 05:30:00,15.167,65.5,4,2.1,12.98
2025-07-16 05:45:00,14.889,66,15,2.1,12.6
2025-07-16 06:00:00,15.111,66.2,30,2.9,13.24
2025-07-16 06:15:00,15.889,64.5,45,3.4,14.01
2025-07-16 06:30:00,16.556,63.9,73,2.8,13.93
2025-07-16 06:45:00,17.389,61.8,101,2.8,15.15
2025-07-16 07:00:00,18.389,58.3,133,3.1,17.54
2025-07-16 07:15:00,19.222,57.3,171,1.3,19.5
2025-07-16 07:30:00,19.389,59,206,2.3,20.175
2025-07-16 07:45:00,20.278,53.6,227,2,20.85
2025-07-16 08:00:00,20.778,51.6,251,3.1,21.63
2025-07-16 08:15:00,20.722,52.4,314,5.1,22.41
2025-07-16 08:30:00,20.833,51.5,358,5.9,22.72
2025-07-16 08:45:00,21.389,49.6,401,4.7,24.24
2025-07-16 09:00:00,22.056,48.3,437,3.3,25.505
2025-07-16 09:15:00,22.5,47.9,461,4.2,26.77
2025-07-16 09:30:00,22.722,47.4,459,4.6,27.49
2025-07-16 09:45:00,23.111,47.3,551,4.4,28.21
2025-07-16 10:00:00,23.5,46.1,597,5.2,27.96
2025-07-16 10:15:00,23.611,45.6,627,5.5,28.095
2025-07-16 10:30:00,24.222,44.2,664,4.6,28.23
2025-07-16 10:45:00,24.833,43.4,692,4.9,30.315
2025-07-16 11:00:00,25.111,42.3,716,4.5,32.13
2025-07-16 11:15:00,25.556,41,740,4.5,31.52
2025-07-16 11:30:00,26.167,40.3,761,4.3,32.79
2025-07-16 11:45:00,26.5,39.1,778,2.8,34.76
2025-07-16 12:00:00,26.389,42.7,792,4.5,34.59
2025-07-16 12:15:00,26.444,41.8,808,3.8,33.97
2025-07-16 12:30:00,26.889,39.9,819,3.2,33.52
2025-07-16 12:45:00,26.889,40.4,819,3.5,34.21
2025-07-16 13:00:00,27.611,39.2,753,3.9,34.9
2025-07-16 13:15:00,27.722,39.6,808,4.2,35.19
2025-07-16 13:30:00,27.667,39.8,828,4.8,35.845
2025-07-16 13:45:00,27.833,39.2,799,3.8,36.5
2025-07-16 14:00:00,28.389,38.6,751,3.2,35.99
2025-07-16 14:15:00,28.5,38.1,683,3.3,35.48
2025-07-16 14:30:00,28.722,37.8,683,3.8,35.95
2025-07-16 14:45:00,28.778,38.1,719,2.8,36.42
2025-07-16 15:00:00,29.278,37.1,729,3,36.6866666666667
2025-07-16 15:15:00,29.333,37.7,733,3.6,36.9533333333333
2025-07-16 15:30:00,29.333,36.8,711,3.4,37.22
2025-07-16 15:45:00,29.611,35.5,683,3.3,37.22
2025-07-16 16:00:00,29.556,36.4,657,4,37.5625
2025-07-16 16:15:00,29.833,34.5,629,3.5,37.905
2025-07-16 16:30:00,30.222,32.6,600,3.5,39.1
2025-07-16 16:45:00,30.556,30.5,567,2.6,37.41
2025-07-16 17:00:00,30.611,30.2,530,2,38.08
2025-07-16 17:15:00,30.5,31.7,491,2.3,37.495
2025-07-16 17:30:00,30.556,32.1,450,2.1,38.1375
2025-07-16 17:45:00,30.556,31.8,409,2,38.78
2025-07-16 18:00:00,30.556,32.7,370,2,37.26
2025-07-16 18:15:00,30.778,31.9,328,1.8,36.33
2025-07-16 18:30:00,30.667,33.1,287,1.6,33.94
2025-07-16 18:45:00,30.667,35.1,247,1.5,34.26
2025-07-16 19:00:00,30.444,36.1,209,1.7,33
2025-07-16 19:15:00,30.111,37.3,172,1.9,31.74
2025-07-16 19:30:00,29.389,39.4,137,1.6,30.43
2025-07-16 19:45:00,28.722,41.7,104,1.6,29.595
2025-07-16 20:00:00,28,40.5,76,1.9,29.29
2025-07-16 20:15:00,27.278,41.3,50,1.7,26.93
2025-07-16 20:30:00,24.778,50.8,26,2.1,24.57
2025-07-16 20:45:00,24.5,49.5,8,2.2,21.99
2025-07-16 21:00:00,22.5,55.3,2,2.8,21.12
2025-07-16 21:15:00,21.889,55.4,0,3,20.57
2025-07-16 21:30:00,21.333,56.1,0,2.6,19.63
2025-07-16 21:45:00,20.444,58,0,2.9,18.505
2025-07-16 22:00:00,19.444,61.6,0,3.6,18.15
2025-07-16 22:15:00,19.5,59.9,0,4,18.7
2025-07-16 22:30:00,19.333,59.3,0,4.1,17.77
2025-07-16 22:45:00,19.722,56.2,0,4.7,18.44
2025-07-16 23:00:00,19.889,55.1,0,4.3,18.75
2025-07-16 23:15:00,19.722,55.3,0,4.1,18.335
2025-07-16 23:30:00,20,53.1,0,4.5,18.31
2025-07-16 23:45:00,19.833,54.2,0,4.6,17.48
2025-07-17 00:00:00,18.833,58.2,0,3.9,16.955
2025-07-17 00:15:00,17.833,62.2,0,3.2,16.43
2025-07-17 00:30:00,17,66.6,0,3.3,16.5875
2025-07-17 00:45:00,18.056,60.2,0,3.9,16.745
2025-07-17 01:00:00,19.333,52.3,0,4.2,16.87
2025-07-17 01:15:00,19.5,51.4,0,4.2,17.1
2025-07-17 01:30:00,20.667,46.1,0,4,16.56
2025-07-17 01:45:00,18.833,54.7,0,2.1,16.02
2025-07-17 02:00:00,17.611,59.3,0,2.5,15.2
2025-07-17 02:15:00,16.944,61.7,0,2.2,15.54
2025-07-17 02:30:00,16.778,59.8,0,1.6,15.08
2025-07-17 02:45:00,16.556,61.2,0,2.3,14.525
2025-07-17 03:00:00,17.778,55.1,0,2.2,14.37
2025-07-17 03:15:00,16,62.3,0,1.7,14.12
2025-07-17 03:30:00,16.833,56.9,0,3.4,14.1
2025-07-17 03:45:00,15.278,64.9,0,2,13.48
2025-07-17 04:00:00,14.944,67.1,0,2.4,12.86
2025-07-17 04:15:00,15.944,64.1,0,2.2,12.8833333333333
2025-07-17 04:30:00,15.667,66.3,0,1.9,12.9066666666667
2025-07-17 04:45:00,17.389,58.2,0,2.1,12.93
2025-07-17 05:00:00,18.5,54.3,0,3.8,12.86
2025-07-17 05:15:00,18.889,53.9,0,4.8,14.12
2025-07-17 05:30:00,18.333,57.7,3,4.1,13.99
2025-07-17 05:45:00,19,57.4,13,3.2,13.86
2025-07-17 06:00:00,18.556,60.1,30,3.4,14.68
2025-07-17 06:15:00,19.111,58.1,47,3.7,15.37
2025-07-17 06:30:00,19.778,56.8,82,3.2,16.5
2025-07-17 06:45:00,20.444,55.2,114,3.3,17.63
2025-07-17 07:00:00,21.889,51.2,142,3.1,18.76
2025-07-17 07:15:00,22.167,53.7,180,1.7,20.09
2025-07-17 07:30:00,22.667,51.7,216,2.9,21.75
2025-07-17 07:45:00,23.444,51.8,233,2.3,23.41
2025-07-17 08:00:00,24.333,50.1,267,2.8,24.92
2025-07-17 08:15:00,24.5,50.2,332,3.3,26.21
2025-07-17 08:30:00,24.833,51.1,373,2.9,27.29
2025-07-17 08:45:00,25.111,52.4,412,3.5,28.42
2025-07-17 09:00:00,25.389,53.7,451,4,29.19
2025-07-17 09:15:00,25.333,53.5,469,3.8,29.94
2025-07-17 09:30:00,26.056,50.6,461,2.8,31.13
2025-07-17 09:45:00,26.667,47.5,543,2.6,32.6
2025-07-17 10:00:00,27.556,45.6,597,2.6,33.52
2025-07-17 10:15:00,27.944,44.4,630,3.2,34.44
2025-07-17 10:30:00,28.556,42.9,659,3.2,35.44
2025-07-17 10:45:00,28.889,41.3,688,3.6,35.375
2025-07-17 11:00:00,29.111,40.7,714,4.1,35.7
2025-07-17 11:15:00,29.778,38.2,739,3.6,36.67
2025-07-17 11:30:00,29.667,37.6,761,4.4,37.31
2025-07-17 11:45:00,30.167,35.7,779,3.6,37.95
2025-07-17 12:00:00,30.333,36.7,794,4,37.86
2025-07-17 12:15:00,30.389,35.9,807,4,38.56
2025-07-17 12:30:00,30.611,35.4,818,4.3,39.37
2025-07-17 12:45:00,30.833,35,818,3.7,39.12
2025-07-17 13:00:00,30.889,34.5,749,4.3,39.51
2025-07-17 13:15:00,31.389,33.1,807,3.9,38.16
2025-07-17 13:30:00,31.333,33.8,828,3.5,38.585
2025-07-17 13:45:00,31.5,33.8,797,4.1,39.01
2025-07-17 14:00:00,31.444,33.1,749,3.5,39.64
2025-07-17 14:15:00,32,33.9,681,3.8,40.005
2025-07-17 14:30:00,31.889,32.5,679,3,40.06
